Date,Price
3/3/2011,0.9391
3/4/2011,0.901
3/5/2011,0.9103
3/6/2011,0.8999
3/7/2011,0.885
3/8/2011,0.87
3/9/2011,0.8645
3/10/2011,0.9329
3/11/2011,0.88
3/12/2011,0.918
3/13/2011,0.8925
3/14/2011,0.8949
3/15/2011,0.87
3/16/2011,0.86
3/17/2011,0.8254
3/18/2011,0.8165
3/19/2011,0.765
3/20/2011,0.7411
3/21/2011,0.759
3/22/2011,0.809
3/23/2011,0.8497
3/24/2011,0.8669
3/25/2011,0.8838
3/26/2011,0.8552
3/27/2011,0.82
3/27/2011,0.799
3/28/2011,0.7925
3/29/2011,0.7897
3/30/2011,0.7846
3/31/2011,0.7741
4/1/2011,0.782
4/2/2011,0.779
4/3/2011,0.68
4/4/2011,0.71
4/5/2011,0.74
4/6/2011,0.7538
4/7/2011,0.75
4/8/2011,0.73
4/9/2011,0.7369
4/10/2011,0.77
4/11/2011,0.86
4/12/2011,0.9225
4/13/2011,1
4/14/2011,0.9899
4/15/2011,1.05
4/16/2011,1.11
4/17/2011,1.16
4/18/2011,1.2
4/19/2011,1.14
4/20/2011,1.21
4/21/2011,1.41
4/22/2011,1.7
4/23/2011,1.63
4/24/2011,1.56
4/25/2011,1.79
4/26/2011,1.9
4/27/2011,2.21
4/28/2011,2.88
4/29/2011,3.5
4/30/2011,3.03
5/1/2011,3.2
5/2/2011,3.41
5/3/2011,3.41
5/4/2011,3.33
5/5/2011,3.45
5/6/2011,3.64
5/7/2011,3.87
5/8/2011,3.8
5/9/2011,5.81
5/10/2011,5.5
5/11/2011,6.3
5/12/2011,8.2
5/13/2011,7.2
5/14/2011,6.99
5/15/2011,8.03
5/16/2011,7.19
5/17/2011,6.88
5/18/2011,6.81
5/19/2011,5.59
5/20/2011,6.12
5/21/2011,6.69
5/22/2011,7.15
5/23/2011,7.42
5/24/2011,8.4
5/25/2011,8.8
5/26/2011,8.5
5/27/2011,8.3
5/28/2011,8.43
5/29/2011,8.8
5/30/2011,8.74
5/31/2011,9.57
6/1/2011,10.6
6/2/2011,14.29
6/3/2011,18.889999
6/4/2011,16.700001
6/5/2011,18.549999
6/6/2011,23.92
6/7/2011,29.6
6/8/2011,28.92
6/9/2011,23.950001
6/10/2011,14.65
6/11/2011,18.549999
6/12/2011,19.84
6/13/2011,19.280001
6/14/2011,19.49
6/15/2011,17
6/16/2011,15.68
6/17/2011,16.889999
6/18/2011,17.51
6/19/2011,17.51
6/20/2011,17.51
6/21/2011,17.51
6/22/2011,17.51
6/23/2011,17.51
6/24/2011,17.51
6/25/2011,16.450001
6/26/2011,16.75
6/27/2011,16.950001
6/28/2011,16.85
6/29/2011,16.1
6/30/2011,15.4
7/1/2011,15.4
7/2/2011,15.44
7/3/2011,13.86
7/4/2011,12.91
7/5/2011,14.78
7/6/2011,14.78
7/7/2011,14.31
7/8/2011,14.38
7/9/2011,14.9
7/10/2011,14.21
7/11/2011,14.01
7/12/2011,13.95
7/13/2011,13.99
7/14/2011,13.81
7/15/2011,13.72
7/16/2011,13.16
7/17/2011,13.48
7/18/2011,13.85
7/19/2011,13.69
7/20/2011,13.61
7/21/2011,13.7
7/22/2011,13.68
7/23/2011,13.98
7/24/2011,14.05
7/25/2011,13.88
7/26/2011,13.94
7/27/2011,13.49
7/28/2011,13.5
7/29/2011,13.53
7/30/2011,13.35
7/31/2011,13.09
8/1/2011,12.05
8/2/2011,9.26
8/3/2011,10.75
8/4/2011,9.8
8/5/2011,6.55
8/6/2011,7.9
8/7/2011,7.8
8/8/2011,9.99
8/9/2011,9.98
8/10/2011,9.46
8/11/2011,9.46
8/12/2011,10.13
8/13/2011,10.8
8/14/2011,11.15
8/15/2011,10.96
8/16/2011,10.95
8/17/2011,10.83
8/18/2011,11.65
8/19/2011,11.45
8/20/2011,11.31
8/21/2011,10.9
8/22/2011,10.94
8/23/2011,10.85
8/24/2011,9.66
8/25/2011,8.18
8/26/2011,8.59
8/27/2011,9.07
8/28/2011,8.97
8/29/2011,8.79
8/30/2011,8.2
8/31/2011,8.21
9/1/2011,8.64
9/2/2011,8.48
9/3/2011,8.18
9/4/2011,7.61
9/5/2011,6.86
9/6/2011,7.19
9/7/2011,6.53
9/8/2011,5.03
9/9/2011,4.77
9/10/2011,5.86
9/11/2011,6.08
9/12/2011,5.8
9/13/2011,5.62
9/14/2011,4.84
9/15/2011,4.82
9/16/2011,4.77
9/17/2011,5.2
9/18/2011,5.46
9/19/2011,6.11
9/20/2011,5.61
9/21/2011,5.43
9/22/2011,5.55
9/23/2011,5.47
9/24/2011,5.33
9/25/2011,4.87
9/26/2011,4.92
9/27/2011,4.77
9/28/2011,4.78
9/29/2011,5.14
9/30/2011,5.03
10/1/2011,5.03
10/2/2011,5.02
10/3/2011,4.96
10/4/2011,4.87
10/5/2011,4.73
10/6/2011,4.27
10/7/2011,4.01
10/8/2011,4.1
10/9/2011,4.1
10/10/2011,3.93
10/11/2011,4.15
10/12/2011,4.05
10/13/2011,3.99
10/14/2011,3.84
10/15/2011,3.56
10/16/2011,2.56
10/17/2011,2.42
10/18/2011,2.27
10/19/2011,2.35
10/20/2011,2.57
10/21/2011,3.16
10/22/2011,3.17
10/23/2011,2.55
10/24/2011,2.77
10/25/2011,2.77
10/26/2011,3.04
10/27/2011,3.19
10/28/2011,3.58
10/29/2011,3.27
10/31/2011,3.25
11/1/2011,3.15
11/2/2011,3.25
11/3/2011,3.15
11/4/2011,3.11
11/5/2011,2.97
11/6/2011,2.96
11/7/2011,3.01
11/8/2011,3.04
11/9/2011,2.95
11/10/2011,2.84
11/11/2011,3.08
11/12/2011,3.03
11/13/2011,3
11/14/2011,2.22
11/15/2011,2.33
11/16/2011,2.56
11/17/2011,2.25
11/18/2011,2.05
11/19/2011,2.2
11/20/2011,2.2
11/21/2011,2.29
11/22/2011,2.33
11/23/2011,2.33
11/24/2011,2.43
11/25/2011,2.51
11/26/2011,2.47
11/27/2011,2.48
11/28/2011,2.55
11/29/2011,2.75
11/30/2011,2.97
12/1/2011,3.06
12/2/2011,3.12
12/3/2011,2.79
12/4/2011,2.83
12/5/2011,2.88
12/6/2011,3.03
12/7/2011,2.99
12/8/2011,2.98
12/9/2011,2.97
12/10/2011,3.05
12/11/2011,3.25
12/12/2011,3.14
12/13/2011,3.25
12/14/2011,3.15
12/15/2011,3.2
12/16/2011,3.2
12/17/2011,3.2
12/18/2011,3.19
12/19/2011,3.52
12/20/2011,3.95
12/21/2011,3.89
12/22/2011,3.89
12/23/2011,3.95
12/24/2011,3.94
12/25/2011,4.22
12/26/2011,4.02
12/27/2011,4.07
12/28/2011,4.19
12/29/2011,4.17
12/30/2011,4.25
12/31/2011,4.72
1/1/2012,5.27
1/2/2012,5.22
1/3/2012,4.88
1/4/2012,5.57
1/5/2012,6.95
1/6/2012,6.7
1/7/2012,6.81
1/8/2012,7.11
1/9/2012,6.33
1/10/2012,6.36
1/11/2012,6.9
1/12/2012,6.8
1/13/2012,6.41
1/14/2012,6.75
1/15/2012,7
1/16/2012,6.68
